k,same_effect,diff_effect,gradient,effect_error,log_likelihood,accuracy,brier
0,0.16988720219079867,0.12882082006774515,0.041066382123053524,0.10970802225854383,-4412.925106642146,0.5116190476190476,0.310491716796139
1,0.15015227477029902,0.11339902943876617,0.03675324533153285,0.07455130420906521,-4087.6530656886384,0.5565714285714286,0.2835716093555901
2,0.1312269983113527,0.08418251589362602,0.047044482417726685,0.049955517582273304,-3890.193746987255,0.572,0.26826753939441916
3,0.1278848318440508,0.07572551232533276,0.05215931951871805,0.04484068048128194,-3766.7943774789765,0.5796190476190476,0.25835010908576184
4,0.11303323438934121,0.048176285480515446,0.06485694890882576,0.03214305109117423,-3682.965943338256,0.5843809523809523,0.2520830229157954
5,0.10563190277261808,0.043541747971917455,0.062090154800700625,0.03982634925546445,-3636.9453463629625,0.5923809523809523,0.24833809156877187
6,0.10730450615585058,0.03428869211261387,0.0730158140432367,0.04740680173153554,-3572.4004399068726,0.6007619047619047,0.242942995999805
8,0.10251459767705368,0.02846557540641803,0.07404902227063564,0.05801982691652828,-3539.973336801504,0.6076190476190476,0.24022031233458332
10,0.09873210534363269,0.02136170695666495,0.07737039838696774,0.06890618769970235,-3502.3516305947046,0.6089523809523809,0.2371686800898837
15,0.09128967248988423,0.015406224267066726,0.0758834482228175,0.08230410324304903,-3493.9732161284737,0.6060952380952381,0.23649192408768613
20,0.08327818090950823,0.013911384892428824,0.0693667960170794,0.09181043419806294,-3514.1165461230244,0.609904761904762,0.23837096238198613
25,0.07467399751927378,0.012314003818606367,0.062359993700667415,0.10201199866211984,-3541.5619648387274,0.6074285714285714,0.2409370457131557
30,0.06414850909488246,0.01087169790752629,0.053276811187356166,0.11397979299759124,-3559.460123569494,0.6057142857142858,0.24260160756008614
35,0.04773394292739619,0.010325150718485054,0.037408792208911135,0.13094090635411876,-3565.1193004766765,0.6009523809523809,0.24311904200892068
