,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Q1,0.28233758431537337,0.32546866113234385,-0.10413587300092735,0.07532303915114402,-0.1828690133724507,0.30546860738208254,-0.24254383017919443,0.27074857830130666
Q2,0.28446279947059366,0.29187511354129114,-0.026760779009515193,-0.28799265132745794,-0.25107548060894935,0.08725175543789082,0.03607286121593299,0.20050231695585596
Q3,0.04828704429261347,0.10350142774323591,0.21561726225973268,0.13725439758204833,-0.26601602310310596,-0.2038211273598143,-0.08535317309135716,-0.1784741588819974
Q4,0.28577896863271435,0.2730363778210547,-0.0875803818450016,0.07591807989223415,-0.16266862022549733,0.15333202923546702,-0.06668923067735993,0.18462190122580957
Q5,0.2670601861459663,0.21684803993800644,-0.10267976093724832,-0.02741020786341263,-0.21622649155744617,0.21140787081094622,-0.29002114526722683,0.016678160073522047
Q6,-0.01730444758300257,-0.1739695912748383,-0.0863102866263578,0.18501612711581805,0.05920319334883617,0.08364205106762201,-0.045032573577586915,0.08604514861904575
Q7,-0.11347161657272405,-0.02243255622759208,0.06992022754508272,0.3543904930965974,-0.09239062393485448,0.06731936662873195,0.1564477266861841,0.044702165312900596
Q8,0.49707398835461264,0.13465090038699748,-0.31868368392496377,-0.22574280843267933,-0.07141293025252793,-0.05868914808863058,0.11547521612574412,-0.07105899826800892
Q9,0.10047978605274878,0.16269172020422443,-0.01925714426992367,0.34208963011224586,-0.16254632975236216,0.3344165584109551,-0.19386380143884926,-0.007866346140976145
Q10,0.06987407613048713,0.0668097219262174,0.03375189268995148,0.10273683841697441,-0.14825856399210902,0.3670073059415654,-0.15555689000195724,-0.16981591411885244
Q11,0.4334661523377756,-0.04208791048844184,-0.12923057024994283,-0.23977519092635033,-0.06651823957109096,-0.4016115031132568,0.10138385366565739,0.19987737957295681
Q12,0.2580095184125396,-0.13954686045383183,-0.2577408943372773,-0.18814166405134827,-0.1811214102337137,0.24031959978092038,0.2614033049477926,-0.3195886551462898
Q13,0.3466391063463068,-0.2646358729865125,-0.2929616631476923,-0.1990619904033157,-0.21534065612619496,0.20192578959356336,0.17203325493853888,-0.16947555834879435
Q14,-0.35667985456009854,-0.09943472831133725,0.4763790598203878,0.091143657507851,-0.10431325161837296,-0.12961988860499607,-0.13097559049783708,0.10145947467468705
Q15,0.30937218302490344,0.17190037408757616,-0.2164292524295661,-0.16132480990342918,-0.11759052356623692,-0.3825759987329526,0.10752065346245389,0.3771448849322505
Q16,-0.4661209531769594,0.26065578633921965,0.24627927257843024,0.008920978641589227,0.013254394173487635,0.13660597251702664,0.47414818728309926,0.21818210772642302
Q17,-0.3776805461744655,0.18383531183172308,0.10506175517999308,0.18461558144204152,-0.13108217103006173,0.26491403247346973,0.5225015669859024,0.28368967131953304
